EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
6,6,6,6,6,6,7,6,6,4,4,5,3,3,3,3,7,7,7,6,6,3,4,4,5,4,5,5,4,5,3,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,7,7,7,-0.657,-1.01,0.88,Ocio
6,6,5,5,5,5,6,5,5,2,3,5,3,3,3,3,7,6,6,6,6,4,5,6,6,5,6,6,4,5,4,3,4,4,4,4,6,5,2,2,2,5,5,4,4,4,5,5,5,-1.79,-1.01,-1.984,Ocio
6,6,6,6,6,6,5,5,6,5,5,6,6,5,6,5,6,6,6,6,6,6,6,4,6,7,7,7,4,7,5,5,5,5,4,4,4,4,4,5,5,6,6,5,4,4,5,5,5,-1.221,-0.733,-1.984,Ocio
6,6,6,6,6,7,5,6,6,4,4,6,4,4,4,4,6,6,6,6,5,5,5,5,5,4,5,5,4,4,4,3,4,5,5,6,6,6,6,5,5,7,7,5,5,5,7,7,7,0.231,-0.177,0.88,Ocio
5,5,5,4,5,5,7,6,7,7,6,7,4,5,4,5,7,6,6,7,7,6,6,6,6,6,7,7,5,6,5,5,4,6,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,1.528,-0.177,0.88,Negocio
4,4,4,4,4,4,7,5,5,2,4,5,4,4,4,4,7,7,6,6,6,6,5,5,6,4,6,6,5,6,4,3,3,5,4,4,5,5,5,4,4,7,7,4,4,4,7,7,7,-0.842,-1.01,0.88,Ocio
7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,6,7,7,5,6,5,7,7,7,7,7,7,7,7,0.826,1.489,0.88,Ocio
7,7,5,7,5,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,5,5,6,5,7,5,6,5,7,5,4,4,4,5,5,6,6,5,5,5,7,7,7,7,4,6,4,5,-0.022,0.685,-1.961,Ocio
7,7,7,7,7,7,7,3,4,2,4,5,3,3,3,3,7,7,6,7,6,6,4,5,5,3,6,5,4,5,3,3,3,5,4,4,5,5,3,3,3,7,7,4,5,4,7,7,7,-1.312,-0.723,0.88,Ocio
2,4,2,5.845864661654136,5,4,7,5,4,4,1,1,4.556818181818182,6,6,6,7,6.657894736842105,6,7,6.205992509363296,6,5.726923076923077,7,7,6,7,5,6,5.885496183206107,6,4.4393939393939394,4.481060606060606,5.5437262357414445,5,5.306818181818182,5.8528301886792455,5,5,5.20532319391635,6,6,6,5,5.1992481203007515,5.095057034220532,7,7,7,-0.192,-0.094,0.88,Ocio
6,5,6,3,7,7,7,5,4,4,4,4,4,5,2,2,7,7,7,7,3,5,5,7,5,4,4,5,1,1,1,1,1,1,2,2,6,5,6,3,2,1,1,1,1,2,7,7,7,-2.3,-3.242,0.88,Negocio
