"CUESTIONARIO","TRUST1","TRUST2","TRUST3","COMMIT1","COMMIT2","COMMIT3","COMMIT4","VCC1","VCC2","VCC3","VCC4","VCC5","VCC6","ECOSAT1","ECOSAT2","ECOSAT3","SOCSAT1","SOCSAT2","SOCSAT3"
214,5,5,5,5,5,5,5,6,6,6,4,5,5,5,5,3,6,5,4
215,5,5,5,5,5,5,5,3,3,5,5,6,6,4,4,5,6,6,6
216,5,7,7,7,1,7,7,1,5,7,4,7,5,6,6,4,6,6,5
217,5,5,7,5,4,7,5,3,5,4,1,4,4,5,6,4,7,5,7
218,7,7,7,7,7,7,7,3,5,7,5,5,5,6,6,7,7,7,7
219,7,7,7,6,4,7,4,2,6,7,3,7,5,6,5,5,7,6,4
220,6,7,7,7,7,7,7,2,6,6,7,5,7,7,6,6,7,7,7
221,7,7,7,7,6,7,7,5,5,6,6,7,5,6,6,6,6,6,6
222,5,5,6,6,4,4,5,3,5,4,2,6,4,5,5,4,7,4,4
223,5,7,7,7,6,7,7,4,7,6,5,6,7,6,6,5,7,5,6
224,7,7,7,7,7,7,7,5,1,6,1,3,7,3,4,2,7,6,5
225,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6
226,5,5,5,5,5,5,5,1,1,5,3,5,7,7,7,7,7,7,7
227,7,7,7,5,6,7,7,7,7,7,7,7,7,4,7,7,6,7,7
228,5,5,5,5,5,5,5,1,5,5,3,6,7,6,5,7,7,5,6
229,7,6,7,7,6,6,6,3,1,6,1,4,7,6,6,6,7,7,6
230,6,6,6,5,5,7,7,1,5,1,1,6,6,6,5,6,6,6,4
231,5,5,5,5,4,4,5,3,1,1,1,4,4,4,5,6,5,5,5
232,6,6,6,4,4,6,6,3,6,5,3,5,6,5,5,5,6,6,5
233,7,7,7,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7
234,6,4,4,4,5,7,6,1,1,7,3,3,5,5,5,3,5,5,6
235,7,7,7,7,7,,,7,7,7,7,4,7,7,7,5,7,7,7
236,7,7,7,7,6,7,6,1,5,7,5,7,5,6,7,7,6,6,7
237,6,5,5,5,1,3,3,1,1,3,1,5,1,4,4,1,6,5,2
238,5,5,5,6,5,7,7,5,5,6,3,7,7,7,6,5,7,6,7
239,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
240,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6
241,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
242,7,6,7,5,5,7,6,2,4,3,5,6,6,6,6,3,7,6,7
243,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
244,7,6,7,7,6,6,7,7,7,7,7,7,7,5,6,6,7,7,7
245,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6
246,6,6,7,5,5,6,5,1,1,1,2,5,4,5,5,5,5,5,5
247,7,7,7,7,7,7,7,5,5,5,2,6,7,7,7,7,7,7,7
